,Text,Innovation,Material,Utilization
71,Stanford's extra salty electrolyte makes for flameproof batteries,                extra salty electrolyte,              none,               none
72,Revolutionary photocatalyst is huge news for green hydrogen and ammonia,                photocatalyst,              none,               none
73,MIT advance paves way for high-density batteries that handle stress,                high-density batteries,              none,               none
74,Hybrid ultracap battery promises 72-second city EV charging,                Ultracap battery,              none,               none
75,World's first electric lithium mine: Birth of an American supply chain,               electric lithium mine,              none,               none
76,"All-perovskite tandem solar cell boasts high efficiency, record voltage",                All-perovskite tandem solar cell,              none,               none
77,Light-powered catalyst makes profitable hydrogen from stinky waste gas,                light-powered catalyst,              none,               none
78,Doogee launches rugged mid-ranger with monster battery,               rugged mid-ranger,              none,               none
79,Yaber puts a phone-sized pico projector in your pocket,               phone-sized pico projector,              none,               none
80,Asus powers the next generation of mobile gamers with ROG Phone 6 launch,                none,              none,               none
81,Xiaomi gives mobile photography a boost with launch of 12S Ultra,                12S Ultra high-resolution camera,              none,                none
82,Xiaomi targets mobile workers with Snapdragon-powered 2-in-1 convertible,                Snapdragon-powered 2-in-1 convertible laptops,               none,               none
83,"Google unveils Pixel 6a phone, pro earbuds, and its first smartwatch","                Pixel 6a phone, pro earbuds, and its first smartwatch",              none,               none
84,Sony's latest flagship smartphone sports true optical zoom camera,                true optical zoom camera,              none,               none
85,IK launches versatile field-ready audio interface and mixer,                none,              none,               none
86,DJI flies into vlog territory with clip-on microphone system,               DJI vlogging,              none,               none
87,Pine64 offers a more premium mobile Linux experience with PinePhone Pro,                PinePhone Pro,              none,               none
88,OnePlus 10 Pro flagship boasts second-gen Hasselblad imaging,               Second-gen Hasselblad imaging,              none,               none
89,Oledcomm lights the way with Li-Fi-enabled Android tablet,               Li-Fi,              none,               none
90,Huawei turns up the bling for P50 Pocket folding smartphone,                none,              none,               none
91,Oppo teases upcoming smartphone with pop-out camera module,                pop-out camera module,              none,               none
92,DJI gives latest smartphone gimbal a built-in selfie stick,               selfie stick,              none,               none
93,Samsung shows working prototype of Flex In & Out display,                Flex In & Out display,              none,               none
94,Samsung unfurls new Fold and Flip phones – and first under-display camera,                none,              none,               none
95,Fujifilm covers all the angles with rotating lens business projector,               rotating lens business projector,              none,               none
96,Honor 6X smartphone offers dual-lens portrait photography,               dual-lens portrait photography,              none,               none
97,Fujifilm goes big with a mirrorless medium format camera,               mirrorless medium format camera,              none,               none
98,"Relonch camera uses AI to process your photos, for $99 per month",               Relonch camera,              none,               none
99,Hasselblad ramps up the detail with 400 MP multi-shot camera,               400 MP multi-shot camera,              none,               none
